Location,Latitude,Longitude,"Coordinates, ",Report Number,Last Modified,Repored On,Incident From,Incident To,Incident Type,,Description
" Residence on 10th Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-4007, 09-06-201721:30, 09-06-201717:16, 09-03-201719:30, 09-04-201708:00, Theft (Of Bicycle),, Male student reports Theft (Of Bicycle) by an unknown suspect. Case closed.
" Buckeye Lots Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-2271, 05-22-201722:08, 05-22-201719:48, 05-22-201719:48, 05-22-201719:48, Traffic Crash - Property Damage,, Male staff reports property damage traffic crash.  Case closed.
" Fry Halll Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-1308, 03-27-201722:24, 03-27-201717:07, 03-27-201716:50, 03-27-201717:07, Traffic Crash Property Damage Hit Skip,, Female non-affiliate reports hit skip property damage traffic crash.  Investigation pending.
" Cannon Dr / John Herrick Dr Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-1501, 04-06-201718:03, 04-06-201715:19, 04-06-201715:19, 04-06-201715:19, Traffic Crash- Property Damage,, Male staff reports property damage traffic crash.  Case closed.
" Buckeye Lots Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-2269, 05-22-201722:05, 05-22-201718:52, 05-22-201718:52, 05-22-201718:52, Traffic Crash- Property Damage,, Male staff reports property damage traffic crash.  Case closed.
" Woodruff Ave. Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0621, 02-17-201708:26, 02-10-201715:43, 02-09-201721:30, 02-09-201721:30, Traffic Crash-Injury,, Male staff reports traffic crash-injury.  Case closed.
" Woodruff Ave and Cannon Dr Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-3868, 08-30-201719:34, 08-30-201714:21, 08-30-201714:21, 08-30-201714:21, Traffic Crash-Injury,, Male staff reports injury traffic crash.  Case closed.
" John Herrick Dr / Neil Ave Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-3986, 09-05-201722:25, 09-05-201718:50, 09-05-201718:50, 09-05-201718:50, Traffic Crash-Injury,, Male staff reports Traffic Crash-Injury. Case closed.
" Woody Hayes Dr / Tuttle Park PL Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-4106, 09-16-201717:00, 09-11-201711:02, 09-11-201710:55, 09-11-201710:55, Traffic Crash-Injury,, Male staff reports traffic crash with injuries. Case closed.
" Sisson Hall Parking Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-4324, 09-21-201720:01, 09-21-201713:46, 09-21-201713:46, 09-21-201713:46, Traffic Crash-Injury-Hit Skip,, Male staff reports Traffic Crash-Injury-Hit Skip by an unknown suspect. Investigation pending.
" 2000 Tuttle Park PL Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0067, 01-08-201714:12, 01-08-201712:37, 01-08-201712:37, 01-08-201712:37, Traffic Crash-Property Damage,, Male staff reports a property damage traffic crash. Case Closed.
" Cannon Dr/John Herrick Dr Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0126, 01-13-201714:03, 01-13-201710:53, 01-13-201710:53, 01-13-201710:53, Traffic Crash-Property Damage,, Male staff reports Traffic Crash-Property Damage. Case Closed.
" John Herrick Dr / Cannon Dr Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0228, 01-19-201714:17, 01-19-201709:42, 01-19-201709:40, 01-19-201709:40, Traffic Crash-Property Damage,, Female student reports Traffic Crash-Property Damage. Case closed.
" 10th and Cannon Parking Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0250, 01-20-201714:34, 01-20-201707:50, 01-20-201707:50, 01-20-201707:50, Traffic Crash-Property Damage,, Male staff reports Traffic Crash-Property Damage. Case Closed.
" Northwest Stadium Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0314, 01-24-201708:30, 01-24-201707:58, 01-24-201707:58, 01-24-201707:58, Traffic Crash-Property Damage,, Male staff reports traffic crash.  Cased closed
" Carmack Rd/ Kenny Rd Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0328, 01-24-201718:21, 01-24-201717:55, 01-24-201717:30, 01-24-201717:30, Traffic Crash-Property Damage,, Female student reports Traffic Crash-Property Damage. Case closed.
" 12th and Cannon Parking Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0383, 01-28-201714:26, 01-28-201712:56, 01-28-201706:50, 01-28-201712:40, Traffic Crash-Property Damage,, Female staff reports Traffic Crash-Property Damage. Case Closed.
" Cannon Dr / 10th Ave Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0701, 02-15-201718:11, 02-15-201716:50, 02-15-201716:50, 02-15-201716:50, Traffic Crash-Property Damage,, Male staff reports Traffic Crash-Property Damage. Case closed.
" Cannon Dr / 10th Ave Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0701, 02-15-201718:11, 02-15-201716:50, 02-15-201716:50, 02-15-201716:50, Traffic Crash-Property Damage,, Male staff reports Traffic Crash-Property Damage. Case closed.
" Gray Parking Lot #6 Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0796, 02-20-201722:53, 02-20-201721:07, 02-20-201721:07, 02-20-201721:07, Traffic Crash-Property Damage,, OSU Police reports Traffic Crash-Property Damage by known subjects.  Case Closed.
" 12th and Cannon Parking Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0878, 02-25-201707:14, 02-24-201723:37, 02-24-201723:37, 02-24-201723:37, Traffic Crash-Property Damage,, Male staff reports traffic crash. Case closed
" Carmack 1 Parking Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0969, 03-02-201720:03, 03-02-201719:22, 03-02-201719:10, 03-02-201719:10, Traffic Crash-Property Damage,, Female staff reports Traffic Crash-Property Damage. Case closed.
" Carmack 1 Parking Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0969, 03-02-201720:03, 03-02-201719:22, 03-02-201719:10, 03-02-201719:10, Traffic Crash-Property Damage,, Female staff reports Traffic Crash-Property Damage. Case closed.
" Buckeye Lots Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-1084, 03-10-201713:50, 03-10-201712:15, 03-10-201712:15, 03-10-201712:15, Traffic Crash-Property Damage,, Male staff reports traffic crash. Case closed
" West Stadium Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-1195, 03-18-201718:38, 03-18-201718:11, 03-18-201718:08, 03-18-201718:08, Traffic Crash-Property Damage,, Female non-affiliate reports Traffic Crash-Property Damage. Case closed.
" John Herrick Dr / Cannon Dr Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-1244, 03-23-201721:27, 03-23-201717:44, 03-23-201717:44, 03-23-201717:44, Traffic Crash-Property Damage,, Female staff reports Traffic Crash-Property Damage. Case closed.
" East Stadium Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-1996, 05-03-201714:23, 05-03-201710:15, 05-03-201710:15, 05-03-201710:15, Traffic Crash-Property Damage,, Male staff reports traffic crash. Case closed
" Buckeye Lots Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-2186, 05-16-201714:45, 05-16-201706:18, 05-16-201706:18, 05-16-201706:18, Traffic Crash-Property Damage,, Male staff reports traffic crash. Case closed
" Gray Lot 4 Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-2274, 05-23-201706:42, 05-22-201723:10, 05-22-201723:10, 05-22-201723:39, Traffic Crash-Property Damage,, Male staff reports Traffic Crash-Property Damage.  Case closed
" John Herrick Dr / Cannon Dr Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-2315, 05-25-201720:19, 05-25-201715:40, 05-25-201715:40, 05-25-201715:40, Traffic Crash-Property Damage,, Female faculty reports Traffic Crash-Property Damage. Case closed.
" John Herrick Dr / Cannon Dr Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-2387, 05-31-201718:32, 05-31-201713:00, 05-31-201713:00, 05-31-201713:00, Traffic Crash-Property Damage,, Male staff reports Traffic Crash-Property Damage. Case closed.
" John Herrick Dr / Cannon Dr Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-2390, 05-31-201718:38, 05-31-201714:47, 05-31-201714:47, 05-31-201714:47, Traffic Crash-Property Damage,, Female non-affiliate reports Traffic Crash-Property Damage. Case closed.
" Mid Towers Parking Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-2417, 06-01-201722:47, 06-01-201719:21, 06-01-201719:21, 06-01-201719:21, Traffic Crash-Property Damage,, Male student reports Traffic Crash-Property Damage. Case closed.
" 12th and Cannon Parking Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-3315, 08-02-201715:33, 08-02-201707:51, 08-02-201707:51, 08-02-201707:51, Traffic Crash-Property Damage,, Female staff reports Traffic Crash-Property Damage. Case closed.
" Carmack 5 Parking Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-3345, 08-04-201716:31, 08-04-201715:56, 08-04-201715:46, 08-04-201715:46, Traffic Crash-Property Damage,, Male staff reports Traffic Crash-Property Damage. Case closed.
" OSU East Hospital West Parking Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-3521, 08-16-201716:37, 08-15-201717:21, 08-15-201717:12, 08-15-201717:12, Traffic Crash-Property Damage,, Male staff reports property damage traffic crash.  Case closed.
" Mid Towers Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-4104, 09-11-201714:31, 09-11-201708:49, 09-11-201708:49, 09-11-201708:49, Traffic Crash-Property Damage,, Male staff reports a traffic crash with property damage. Case Closed.
" John Herrick Dr / Olentangy River Rd Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-4450, 09-26-201717:12, 09-26-201716:22, 09-26-201716:22, 09-26-201716:22, Traffic Crash-Property Damage,, Male staff reports Traffic Crash-Property Damage. Case closed.
" Carmack 4 Parking Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-4594, 10-03-201720:10, 10-03-201714:08, 10-03-201714:08, 10-03-201714:08, Traffic Crash-Property Damage,, Male staff reports property damage traffic crash.  Case closed.
" Carmack 1 Parking Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-4751, 10-10-201721:37, 10-10-201716:20, 10-10-201716:20, 10-10-201716:20, Traffic Crash-Property Damage,, Male staff reports Traffic Crash-Property Damage. Case closed.
" Ohio Stadium Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0606, 02-09-201722:58, 02-09-201715:47, 02-08-201711:15, 02-09-201714:30, Traffic Crash-Property Damage-Hip Skip,, Male staff reports traffic crash-property damage hit skip.  Case closed.
" Northwest Stadium Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0589, 02-09-201705:12, 02-09-201701:34, 02-09-201701:34, 02-09-201701:34, Traffic Crash-Property Damage-Hit Skip,, Female staff reports Traffic Crash-Property Damage-Hit Skip.  Investigation Pending
" Carmack 4 Parking Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0660, 02-13-201722:09, 02-13-201714:14, 02-13-201714:14, 02-13-201714:14, Traffic Crash-Property Damage-Hit Skip,, Male student reports hit skip traffic crash.  Case closed.
" 10th and Cannon Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0937, 02-28-201722:05, 02-28-201714:39, 02-28-201705:45, 02-28-201714:30, Traffic Crash-Property Damage-Hit Skip,, Male staff reports Traffic Crash-Property Damage-Hit Skip by an unknown suspect. Case closed.
" John Herrick Dr / Cannon Dr Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0940, 02-28-201721:40, 02-28-201717:32, 02-28-201717:27, 02-28-201717:27, Traffic Crash-Property Damage-Hit Skip,, Male non-affiliate reports Traffic Crash-Property Damage-Hit Skip by an unknown suspect. Case closed.
" Hunter Ave / 10th Ave Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0968, 03-02-201722:55, 03-02-201719:18, 03-02-201712:40, 03-02-201718:50, Traffic Crash-Property Damage-Hit Skip,, Female student reports Traffic Crash-Property Damage-Hit Skip by an unknown suspect. Case closed.
" Hunter Ave / 10th Ave Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-0968, 03-02-201722:55, 03-02-201719:18, 03-02-201712:40, 03-02-201718:50, Traffic Crash-Property Damage-Hit Skip,, Female student reports Traffic Crash-Property Damage-Hit Skip by an unknown suspect. Case closed.
" Carmack Lot 2 Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-1119, 03-13-201722:07, 03-13-201711:56, 03-10-201713:30, 03-10-201714:00, Traffic Crash-Property Damage-Hit Skip,, Female  student reports hit skip property damage traffic crash.  Case closed.
" Carmack 1 Parking Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-1222, 03-21-201715:42, 03-21-201715:12, 03-21-201708:30, 03-21-201714:45, Traffic Crash-Property Damage-Hit Skip,, Male staff reports Traffic Crash-Property Damage-Hit Skip by an unknown suspect. Case closed.
" Carmack 1 Parking Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-1386, 03-31-201715:54, 03-31-201714:30, 02-24-201710:30, 02-24-201714:20, Traffic Crash-Property Damage-Hit Skip,, Male student reports Traffic Crash-Property Damage-Hit Skip by an unknown suspect. Case closed.
" 10th and Cannon Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-1880, 04-26-201721:40, 04-26-201708:36, 04-25-201705:00, 04-25-201717:00, Traffic Crash-Property Damage-Hit Skip,, Female staff reports Traffic Crash-Property Damage-Hit Skip by an unknown suspect. Investigation pending.
" 10th and Cannon Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-2300, 05-25-201711:29, 05-24-201716:43, 05-22-201719:00, 05-22-201719:00, Traffic Crash-Property Damage-Hit Skip,, Female staff reports Traffic Crash-Property Damage-Hit Skip by an unknown suspect. Case closed.
" East Stadium Parking Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-2829, 06-27-201722:40, 06-27-201717:40, 06-27-201715:02, 06-27-201715:02, Traffic Crash-Property Damage-Hit Skip,, Male staff reports Traffic Crash-Property Damage-Hit Skip by a known suspect. Case closed.
" Carmack 4 Parking Lot Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-3023, 07-11-201722:09, 07-11-201718:28, 07-11-201714:00, 07-11-201718:15, Traffic Crash-Property Damage-Hit Skip,, Female student reports Traffic Crash-Property Damage-Hit Skip by an unknown suspect. Case closed.
" Buckeye Lot 2 Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-3728, 08-24-201721:06, 08-24-201713:38, 08-22-201721:00, 08-22-201721:00, Traffic Crash-Property Damage-Hit Skip,, Female non-affiliate reports Traffic Crash-Property Damage-Hit Skip by an unknown suspect. Case closed.
" Volley Ball Staff Parking Ohio State Campus, Columbus, Ohio",40.0141905,-83.0309143,"40.0141905, -83.0309143",17-3789, 08-26-201714:02, 08-26-201712:48, 08-26-201712:48, 08-26-201712:48, Traffic Crash-Property Damage-Hit Skip,, Male student reports traffic crash-hit skip by unknown suspect. Case closed
" Stores and Receiving Building Ohio State Campus, Columbus, Ohio",40.014328,-83.0355069,"40.014328, -83.0355069",17-0230, 01-19-201714:25, 01-19-201708:00, 01-19-201708:00, 01-19-201708:00, Administrative Information,, Female staff reports Administrative Information. Case closed.
" Stores and Receiving Building Ohio State Campus, Columbus, Ohio",40.014328,-83.0355069,"40.014328, -83.0355069",17-0827, 02-24-201709:29, 02-22-201709:22, 02-22-201709:22, 02-22-201709:22, Administrative Information,, Female staff reports administrative information.   Case closed
" Stores and Receiving Building Ohio State Campus, Columbus, Ohio",40.014328,-83.0355069,"40.014328, -83.0355069",17-0054, 01-06-201719:20, 01-06-201715:51, 01-06-201715:51, 01-06-201715:51, Menacing,, Male staff reports Menacing by an unknown suspect. Case closed.
" Central Production Kitchen Ohio State Campus, Columbus, Ohio",40.0145662,-83.0347858,"40.0145662, -83.0347858",17-4262, 09-19-201708:04, 09-18-201709:56, 09-18-201709:36, 09-18-201709:36, Public Accident,, Female staff reports public accident. Case closed
" Central Production Kitchen Ohio State Campus, Columbus, Ohio",40.0145662,-83.0347858,"40.0145662, -83.0347858",17-0234, 01-19-201715:02, 01-19-201713:16, 01-19-201709:30, 01-19-201713:15, Theft,, Female student reports Theft by a known suspect. Investigation pending.
" Buckeye Village Ohio State Campus, Columbus, Ohio",40.0151966,-83.0258318,"40.0151966, -83.0258318",17-0411, 01-30-201719:30, 01-30-201716:35, 01-30-201716:35, 01-30-201716:35, Administrative Information,, Female student reports administrative information.  Case closed.
" Buckeye Village Ohio State Campus, Columbus, Ohio",40.0151966,-83.0258318,"40.0151966, -83.0258318",17-1987, 05-03-201704:04, 05-02-201723:51, 04-30-201718:30, 04-30-201719:00, Administrative Information,, Male Staff reports Administrative Information.  Closed
" Buckeye Village Ohio State Campus, Columbus, Ohio",40.0151966,-83.0258318,"40.0151966, -83.0258318",17-2155, 05-14-201722:45, 05-14-201714:54, 05-13-201720:00, 05-14-201709:40, Administrative Information,, Female student reported Administrative Information. Case Closed.
" Buckeye Village Community Center Ohio State Campus, Columbus, Ohio",40.0151966,-83.0258318,"40.0151966, -83.0258318",17-3347, 08-04-201721:58, 08-04-201717:47, 08-04-201714:30, 08-04-201717:00, Administrative Information,, Female staff reports Administrative Information. Case closed.
" Buckeye Village Ohio State Campus, Columbus, Ohio",40.0151966,-83.0258318,"40.0151966, -83.0258318",17-3459, 08-12-201715:10, 08-12-201708:29, 08-12-201708:29, 08-12-201708:29, Administrative Information,, Male staff reports Administrative Information.
" Buckeye Village Ohio State Campus, Columbus, Ohio",40.0151966,-83.0258318,"40.0151966, -83.0258318",17-4044, 09-08-201712:07, 09-08-201711:03, 09-07-201717:50, 09-07-201717:50, Administrative Information,, Female staff reports administrative information. Case closed
" Buckeye Village Ohio State Campus, Columbus, Ohio",40.0151966,-83.0258318,"40.0151966, -83.0258318",17-4478, 09-27-201722:42, 09-27-201719:04, 09-27-201719:04, 09-27-201719:04, Assist Other Agency,," Male non-affiliate, Michael James Christopher Duty, age 28, was arrested on outstanding warrants. Arrest adult."
" Buckeye Villiage Ohio State Campus, Columbus, Ohio",40.0151966,-83.0258318,"40.0151966, -83.0258318",17-1554, 04-10-201703:28, 04-09-201718:40, 04-05-201718:00, 04-09-201717:00, Criminal Damaging,," Female student reports criminal damaging, suspect unknown.  Case closed"
" Buckeye Village Community Center Ohio State Campus, Columbus, Ohio",40.0151966,-83.0258318,"40.0151966, -83.0258318",17-1336, 03-29-201713:44, 03-29-201710:18, 03-29-201710:18, 03-29-201710:18, Fire-Working,, Male staff reports a Fire-Working. Case closed.
" Buckeye Villiage Ohio State Campus, Columbus, Ohio",40.0151966,-83.0258318,"40.0151966, -83.0258318",17-4271, 09-18-201722:52, 09-18-201716:54, 09-17-201722:00, 09-18-201712:30, Theft (From Auto),, Male student reports theft from auto by unknown suspect. Case closed.
" Buckeye Village Ohio State Campus, Columbus, Ohio",40.0151966,-83.0258318,"40.0151966, -83.0258318",17-4302, 09-20-201710:36, 09-20-201710:05, 09-17-201716:00, 09-18-201709:00, Theft (From Auto),, Male staff reports theft from auto by unknown suspect. Case closed
" Buckeye Village Ohio State Campus, Columbus, Ohio",40.0151966,-83.0258318,"40.0151966, -83.0258318",17-1969, 05-01-201719:50, 05-01-201717:04, 04-17-201700:00, 04-30-201706:40, Theft (Of Bicycle),, Female non-affiliate reports theft of bicycle by unknown suspect.  Case closed.
" Buckeye Village Ohio State Campus, Columbus, Ohio",40.0151966,-83.0258318,"40.0151966, -83.0258318",17-1969, 05-01-201719:50, 05-01-201717:04, 04-17-201700:00, 04-30-201706:40, Theft (Of Bicycle),, Female non-affiliate reports theft of bicycle by unknown suspect.  Case closed.
" Buckeye Village Ohio State Campus, Columbus, Ohio",40.0151966,-83.0258318,"40.0151966, -83.0258318",17-4858, 10-16-201714:53, 10-16-201713:37, 10-13-201711:00, 10-16-201708:30, Theft (Of Bicycle),, Male student reports theft of bicycle by unknown suspect.  Case closed.
" Montgomery Court Ohio State Campus, Columbus, Ohio",40.0152288,-83.0258412,"40.0152288, -83.0258412",17-0052, 01-09-201707:19, 01-06-201711:54, 01-05-201719:00, 01-06-201711:48, Criminal Damaging,, A female student and a male student report criminal damaging by unknown suspect. Case Closed.
" Fred Taylor Dr and Defiance Dr Ohio State Campus, Columbus, Ohio",40.0152737,-83.0286947,"40.0152737, -83.0286947",17-1220, 03-22-201709:14, 03-21-201713:39, 03-21-201713:39, 03-21-201713:39, No Operators License,, Brandon T. Fox Male staff cited for No Operators License. Arrest-Adult
" 631 Stark Ct. Ohio State Campus, Columbus, Ohio",40.0164069,-83.0263152,"40.0164069, -83.0263152",17-3577, 08-19-201706:09, 08-18-201720:35, 08-18-201720:20, 08-18-201720:35, Disorderly Conduct,, Female staff reports Disorderly Conduct. Case closed.
" 641 Stark Ct Ohio State Campus, Columbus, Ohio",40.0164083,-83.0263862,"40.0164083, -83.0263862",17-1156, 03-16-201715:09, 03-16-201713:03, 03-16-201711:20, 03-16-201713:03, Theft,, Female student reports Theft by known suspects. Case closed.
" Child Care Center Ohio State Campus, Columbus, Ohio",40.0165331,-83.0283356,"40.0165331, -83.0283356",17-3509, 08-14-201722:02, 08-14-201715:35, 08-14-201715:35, 08-14-201715:35, Administrative Information,, Female staff reports Administrative Information.
" Pump House Ohio State Campus, Columbus, Ohio",40.0171692,-83.0356515,"40.0171692, -83.0356515",17-4484, 09-28-201705:57, 09-28-201700:28, 09-28-201700:28, 09-28-201700:28, Possession of Drugs,, Male staff reports Possession of Drugs and Drug Paraphernalia by known suspects.
" Pump House Ohio State Campus, Columbus, Ohio",40.0171692,-83.0356515,"40.0171692, -83.0356515",17-4648, 10-06-201705:59, 10-06-201700:25, 10-06-201700:25, 10-06-201700:25, Possession of Drugs,, Male staff reports Possession of Drugs by known suspects. Case Closed.
" Pump House Ohio State Campus, Columbus, Ohio",40.0171692,-83.0356515,"40.0171692, -83.0356515",17-4669, 10-07-201706:18, 10-06-201723:43, 10-06-201723:43, 10-06-201723:43, Possession of Drugs,, Male staff reports Possession of Drugs by known suspects. Case closed.
" Cuyahoga Ct Ohio State Campus, Columbus, Ohio",40.0174062,-83.0265517,"40.0174062, -83.0265517",17-4527, 09-29-201722:57, 09-29-201716:42, 09-29-201716:42, 09-29-201716:42, Falsification,, Male staff reports Falsification by a known suspect. Warrant issued.
" Olentangy / SR-161 Ohio State Campus, Columbus, Ohio",40.017609,-83.02449,"40.017609, -83.02449",17-1060, 03-09-201717:56, 03-09-201710:06, 03-09-201710:06, 03-09-201714:00, Assist Other Agency,, Male staff reports Assist Other Agency. Case closed.
" Cannon Dr / SR 315 Ohio State Campus, Columbus, Ohio",40.017609,-83.02449,"40.017609, -83.02449",17-1691, 04-16-201706:34, 04-16-201701:41, 04-16-201701:41, 04-16-201701:41, Assist Other Agency,, Male staff reports Assist other Agency. Case closed.
" 650 Cuyahoga Ct Ohio State Campus, Columbus, Ohio",40.017625,-83.0265462,"40.017625, -83.0265462",17-4848, 10-15-201713:55, 10-15-201711:21, 10-15-201711:21, 10-15-201711:21, Disorderly Conduct,, Female student reports disorderly conduct by a known suspect. Case Closed.
" Jameson Crane Sports Medicine Institute Ohio State Campus, Columbus, Ohio",40.0177289,-83.0316337,"40.0177289, -83.0316337",17-1970, 05-01-201719:54, 05-01-201718:03, 05-01-201709:00, 05-01-201717:50, Traffic Crash-Property Damage-Hit Skip,, Female staff reports hit skip property damage traffic crash.  Case closed.
" Jameson Crane Sports Medicine Institute Ohio State Campus, Columbus, Ohio",40.0177289,-83.0316337,"40.0177289, -83.0316337",17-1970, 05-01-201719:54, 05-01-201718:03, 05-01-201709:00, 05-01-201717:50, Traffic Crash-Property Damage-Hit Skip,, Female staff reports hit skip property damage traffic crash.  Case closed.
" 660 Ackerman Rd Ohio State Campus, Columbus, Ohio",40.0188457,-83.0302551,"40.0188457, -83.0302551",17-2902, 07-02-201706:39, 07-02-201704:04, 07-02-201704:04, 07-02-201704:04, Assist Other Agency,," OSUPD Assists Ohio State Highway Patrol. Female non-affiliate, Brittany S. Scruggs 23 yoa, arrested on Outstanding OSHP Warrant. Arrest adult."
" James Cancer Center Ohio State Campus, Columbus, Ohio",40.0188457,-83.030255,"40.0188457, -83.030255",17-2175, 05-15-201721:25, 05-15-201717:35, 05-15-201717:20, 05-15-201717:35, Domestic Violence,, Female staff reports domestic violence by known suspect. Case closed.
" James Cancer Center Ohio State Campus, Columbus, Ohio",40.0188457,-83.030255,"40.0188457, -83.030255",17-0268, 03-13-201719:49, 03-13-201719:46, 03-13-201717:36, 03-13-201719:17, Supplement,," Male non-affiliate, Thomas F. Danford, age 31 arrested on outstanding warrant.  Summons issued."
" James Cancer Center Ohio State Campus, Columbus, Ohio",40.0188457,-83.030255,"40.0188457, -83.030255",17-0268, 03-13-201719:58, 03-13-201719:20, 02-08-201708:48, 02-08-201708:48, Supplement,, Case status changed.  Warrant issued.
" 660 Ackerman Rd Ohio State Campus, Columbus, Ohio",40.0188457,-83.0302551,"40.0188457, -83.0302551",17-01852, 06-23-201715:02, 06-20-201700:00, 06-20-201700:00, 06-20-201700:00, Theft,, Medical Center Security Reports Theft. Victim declined police report. Case closed.
" James Cancer Center Ohio State Campus, Columbus, Ohio",40.0188457,-83.030255,"40.0188457, -83.030255",17-2324, 05-26-201718:54, 05-26-201716:44, 05-26-201706:00, 05-26-201716:00, Theft,, Female non-affiliate reports Theft by an unknown suspect. Case closed.
" 660 Ackerman Rd Ohio State Campus, Columbus, Ohio",40.0188457,-83.0302551,"40.0188457, -83.0302551",17-4428, 09-25-201721:50, 09-25-201717:34, 09-25-201706:50, 09-25-201716:15, Theft,, Male staff reports theft by unknown suspect. Case closed.
" James Cancer Center Ohio State Campus, Columbus, Ohio",40.0188457,-83.030255,"40.0188457, -83.030255",17-0943, 02-28-201722:25, 02-28-201720:36, 02-28-201714:00, 02-28-201717:00, Theft (From Auto),, Male non-affiliate reports Theft (From Auto) by an unknown suspect. Case closed.
